text,label,language,text_en
Geschäftsführer Verkauf,Management,de,Managing Director Sales
Geschäftsführer Vet-Team GmbH,Management,de,Managing Director Vet-Team GmbH
Geschäftsführer/ Gesellschafter,Management,de,Managing Director/Shareholder
Geschäftsführer/ Gründer,Management,de,Managing Director/Founders
Geschäftsführer/ Inhaber,Management,de,Managing Director/holder
Geschäftsführer/Gesellschafter,Management,de,Managing Director/Shareholder
Geschäftsführer/Gründer/Gesellschafter,Management,de,Managing Director/Founder/Shareholder
Geschäftsführer/Inhaber,Management,de,Managing Director/owner
Geschäftsführer: ​Dr.,Management,de,Managing Director: Dr.
Geschäftsführer: Folke Mühlhölzer (Vorsitzender),Management,de,Managing Director: Folke Mühlhölzer (Chairman)
Geschäftsführer: INTEGRATION mit BIZTALK & BUSI...,Management,de,Managing Director: INTEGRATION with BIZTALK & BUSI...
Geschäftsführerin,Management,de,Managing Director
Geschäftsführerin (COO),Management,de,Managing Director (COO)
Geschäftsführerin Strategie/Partner,Management,de,Managing Director Strategy/Partner
Geschäftsführerin und Eigentümerin,Management,de,Managing Director and Owner
Geschäftsführerin/Geselllschafterin,Management,de,Managing Director/same-same-same-same-same-same-same-same-same-same-same-same-same-same-same-same-same-same-same-same-same-same-same-same-same-same-same-same-same-same
Geschäftsführerin/Partner,Management,de,Managing Director/Partner
Geschäftsführung,Management,de,Management
Geschäftsführung / Inhaber,Management,de,Management / Owner
Geschäftsführung / Prokurist,Management,de,Management / Procurator
Geschäftsführung Beratung,Management,de,Management Consulting
Geschäftsführung des Unternehmens,Management,de,Management of the company
Geschäftsführung für Unternehmensentwicklung un...,Management,de,Management for Corporate Development and...
Geschäftsführung Nord,Management,de,Management North
Geschäftsführung UEBEX GmbH,Management,de,Management Board UEBEX GmbH
Geschäftsführung und Projektmanagement,Management,de,Management and project management
Geschäftsführung: Pieter Vullinghs (Vorsitzender),Management,de,Management: Pieter Vullinghs (Chairman)
Geschäftsführungsreferentin,Management,de,Executive Officer
Gesellschafter - Geschäftsführer,Management,de,Partner - Managing Director
Gesellschafter / Geschäftsführer,Management,de,Partner / Managing Director
Gesellschafter Geschäftsführer,Management,de,Managing Director
Gesellschafter/Geschäftsführer,Management,de,Shareholder/Managing Director
Gesellschafter/Geschäftsführung,Management,de,Shareholder/Management
Gesellschafter-Geschäftsführer,Management,de,Shareholder Managing Director
Gesellschafter-Geschäftsführer / Steuerberater,Management,de,Managing Director / Tax Advisor
Gewerberechtlicher Geschäftsführer,Management,de,Managing Director of Trade Law
Gründer & Geschäftsführer,Management,de,Founder & Managing Director
Gründer / Geschäftsführer,Management,de,Founder / Managing Director
Gründer und Geschäftsführender Gesellschafter (...,Management,de,Founder and Managing Partner (...
Gründer und Geschäftsführer,Management,de,Founder and Managing Director
Gründer und Geschäftsführer impulsmedia GmbH & Co KG,Management,de,Founder and Managing Director impulsemedia GmbH & Co KG
Gründerin und Geschäftsführende Gesellschafterin,Management,de,Founder and Managing Partner
I Geschäftsführender Gesellschafter,Management,de,I Managing Partner
Inhaber & Geschäftsführer,Management,de,Owner & Managing Director
Inhaber / Geschäftsführer,Management,de,Owner/Managing Director
Inhaber u. Geschäftsführer,Management,de,Owner and Managing Director
Inhaber und Geschäftsführer,Management,de,Owner and Managing Director
Inhaber/Geschäftsführer,Management,de,Holder/Managing Director
kaufmännische Geschäftsführerin,Management,de,Commercial manager
Kaufmännischer Geschäftsführer,Management,de,Commercial Manager
Kaufmännischer Geschäftsführer/Direktor,Management,de,Commercial Managing Director/Director
Kfm. Geschäftsführer,Management,de,Kfm. Managing Director
Konrektorin & Geschäftsführerin,Management,de,Vice-Rector & Managing Director
Marktassistenz Geschäftsführung,Management,de,Market Assistance Management
Mitglied der Geschäftsführung,Management,de,Member of the Management Board
Mitglied der Geschäftsführung | Prokurist,Management,de,Member of the Board of Management
Mitglied der Geschäftsführung und Gesellschafterin der Mestemacher-Gruppe,Management,de,Member of the management and shareholder of the Mestemacher Group
Operative Geschäftsführung,Management,de,Operational management
Partner / kein Geschäftsführer,Management,de,Partner / no managing director
Prokurist und Geschäftsführer,Management,de,Procurator and Managing Director
Referent der Geschäftsführung,Management,de,Chief Executive Officer
RWE: Geschäftsführer RWE Consulting GmbH,Management,de,RWE: Managing Director RWE Consulting GmbH
Sekretariat der Geschäftsführung,Management,de,Management Secretariat
Sprecher der Geschäftsführung / Wirtschaftsprüfer,Management,de,Spokesperson of the Management / Auditor
stellv. Geschäftsführer,Management,de,Deputy Managing Director
Stellvertretender Geschäftsführer,Management,de,Deputy Managing Director
Strategie- und Geschäftsfeldentwicklung / Busin...,Management,de,Strategy and Business Segment Development / Busin...
Stv. Vorsitzender / Geschäftsführer,Management,de,Stv. Chairman / Managing Director
Techn. Geschäftsführer,Management,de,Technical Director
Technischer Geschäftsführer,Management,de,Technical manager
Tochter Geschäftsführer,Management,de,Subsidiary Managing Director
Unternehmer / Geschäftsführer,Management,de,Entrepreneur / Managing Director
Vertreten durch den Geschäftsführer,Management,de,Represented by the Managing Director
Vertretungsberechtiger Geschäftsführer,Management,de,Managing Director with right of representation
Vertretungsberechtigte Geschäftsführer,Management,de,Authorised Managing Directors
Vertretungsberechtigter Geschäftsführer,Management,de,Authorised Managing Director
Vertretungsberichtigter Geschäftsführer,Management,de,Representing Reported Managing Director
Vorsitzende der Geschäftsführung,Management,de,Chairman of the Management Board
Vorsitzender der Geschäftsführung,Management,de,Chairman of the Management Board
Vorsitzender Geschäftsführer,Management,de,Chairman Managing Director
Vorstand / Geschäftsführer,Management,de,Management Board / Managing Director
Wirtschaftsprüfer / Geschäftsführer,Management,de,Auditor / Managing Director
Assistent der Geschäftsführung,Management,de,Assistant to the Executive Board
Assistentin der Geschäftsführung,Management,de,Assistant to the Executive Board
Assistentin des Geschäftsführers,Management,de,Assistant to the Managing Director
Assistenz der Geschäftsführung,Management,de,Assistant to the management
Assistenz der Geschäftsführung / Sekretariat,Management,de,Assistant to the management / secretariat
Assistenz der Techn. Geschäftsführung,Management,de,Assistant to the Technical Management
Assistenz für die Geschäftsführung,Management,de,Assistance for the management
Assistenz Geschäftsführung,Management,de,Assistance Management
Eventmanager und Assistenz der Geschäftsführung,Management,de,Event Manager and Management Assistant
Persönliche Assistenz der Geschäftsführung & Projektmanagement,Management,de,Personal assistance of the management & project management
Gründer und Geschäftsführer / Business Development,Management,de,Founder and Managing Director / Business Development
Consultant / Geschäftsführerin,Management,de,Consultant / Managing Director
Geschäftsführer / Recruitment Consultant,Management,de,Managing Director / Recruitment Consultant
Geschäftsführer IT Security,Management,de,Managing Director IT Security
Geschäftsführer 42he - Einfache Online CRM Lösu...,Management,de,Managing Director 42he - Simple Online CRM Lösu...
Assistent der Geschäftsführung mit Schwerpunkt Marketing,Management,de,Assistant to the management with focus on marketing
Assistentin der Geschäftsführung - Marketing & New Business Development/PR,Management,de,Management Assistant - Marketing & New Business Development/PR
Assistentin der Geschäftsführung - Schwerpunkt Marketing,Management,de,Assistant to the management - focus on marketing
Assistentin der Geschäftsführung & Corporate Marketing,Management,de,Assistant to Management & Corporate Marketing
Assistentin der Geschäftsführung & Verantwortliche Marketing und Kommunikation,Management,de,Assistant to the Management & Responsible Marketing and Communication
Assistentin der Geschäftsführung / Koordination Marketing & Kommunikation,Management,de,Assistant to the Executive Board / Coordination Marketing & Communication
Assistentin der Geschäftsführung / Marketing,Management,de,Assistant to the Management / Marketing
Assistentin der Geschäftsführung / Sales & Marketing,Management,de,Assistant to the Executive Board / Sales & Marketing
Assistentin der Geschäftsführung Marketing und Sales,Management,de,Assistant to Marketing and Sales Management
Assistentin der Geschäftsführung Vertrieb & Marketing,Management,de,Assistant to Sales & Marketing Management
Assistentin der Geschäftsführung/ Marketing/ PR,Management,de,Assistant to the Management Board/ Marketing/ PR
Assistentin Geschäftsführung / Marketing,Management,de,Assistant Management / Marketing
Assistentin Geschäftsführung / Marketing / Vertrieb,Management,de,Assistant Management / Marketing / Sales
Assistenz der Geschäftsführung / Marketing,Management,de,Assistant to the management / marketing
Assistenz der Geschäftsführung / Marketing / Organisation Flächenvertrieb,Management,de,Assistant to the management / Marketing / Organization Area Sales
Assistenz der Geschäftsführung Marketing & Vertrieb,Management,de,Assistant to the Management Marketing & Sales
Assistenz der Geschäftsführung Marketing und Vertrieb,Management,de,Assistant to the Marketing and Sales Board
Assistenz der Geschäftsführung Vertrieb und Marketing,Management,de,Assistant to the management of Sales and Marketing
Assistenz der Geschäftsführung/Marketing,Management,de,Assistant to the management/marketing
Assistenz der Geschäftsführung/Marketing Koordinatorin,Management,de,Assistant to the Management/Marketing Coordinator
Assistenz der Geschäftsführung/Marketingmanager,Management,de,Assistant to the management/marketing manager
Assistenz Geschäftsführung + Marketing/PR,Management,de,Assistance Management + Marketing/PR
Geschäftsführer (Messe Kontakt),Management,de,Managing Director (trade fair contact)
Geschäftsführer D/A/CH  Sales & Marketing,Management,de,Managing Director D/A/CH Sales & Marketing
Geschäftsführer Marketing,Management,de,Managing Director Marketing
Geschäftsführer Marketing & Vertrie,Management,de,Managing Director Marketing & Vertrie
Geschäftsführer Marketing & Vertrieb,Management,de,Managing Director Marketing & Sales
Geschäftsführer Marketing / Vertrieb,Management,de,Managing Director Marketing / Sales
Geschäftsführer Marketing + Vertrieb,Management,de,Managing Director Marketing + Sales
Geschäftsführer Marketing und Vertrieb,Management,de,Managing Director Marketing and Sales
Geschäftsführer Marketing/Vertrieb,Management,de,Managing Director Marketing/Sales
Geschäftsführer Sales & Marketing,Management,de,Managing Director Sales & Marketing
Geschäftsführer Strategie & Kommunikation,Management,de,Managing Director Strategy & Communication
Geschäftsführer Verkauf und Marketing,Management,de,Managing Director Sales and Marketing
Geschäftsführer Vertrieb & Marketing,Management,de,Managing Director Sales & Marketing
Geschäftsführer Vertrieb / Marketing / Einkauf,Management,de,Managing Director Sales / Marketing / Purchasing
Geschäftsführer Vertrieb und Marketing,Management,de,Managing Director Sales and Marketing
Geschäftsführer Vertrieb&Marketing,Management,de,Managing Director Sales & Marketing
Geschäftsführer Vertrieb/Marketing,Management,de,Managing Director Sales/Marketing
Geschäftsführerin - Marketing & Vertrieb,Management,de,Managing Director - Marketing & Sales
Geschäftsführerin (Messe Kontakt),Management,de,Managing Director (trade fair contact)
Geschäftsführerin / Ltg Marketing&Vertrieb,Management,de,Managing Director / Ltg Marketing & Sales
Geschäftsführerin Marketing,Management,de,Managing Director Marketing
Geschäftsführung (Messe Kontakt),Management,de,Management (trade fair contact)
Marketing & Assistenz Geschäftsführung,Management,de,Marketing & Assistance Management
Marketing & Neue Geschäftsfelder,Management,de,Marketing & New Business Areas
Marketing/Geschäftsführer,Management,de,Marketing/Managing Director
Marketing-Allrounder  / Assistenz der Geschäftsführung,Management,de,Marketing-Allrounder / Assistant to the Management Board
Messe Kontakt Geschäftsführer,Management,de,Fair Contact Managing Director
Mitarbeiterin Marketing & Assistenz der Geschäftsführung,Management,de,Employee Marketing & Assistant to the Executive Board
Vertrieb & Marketing / Geschäftsführende Gesellschafterin,Management,de,Sales & Marketing / Managing Partner
Vertriebsassistentin der Geschäftsführung Vertrieb/Marketing,Management,de,Sales Assistant of the Management Sales/Marketing
Geschäftsführer Operations,Management,de,Managing Director Operations
Assistentin der Geschäftsführung im Vertrieb,Management,de,Assistant to the management in sales
Assistentin der Geschäftsführung und des Vertriebs,Management,de,Assistant to Management and Sales
Assistentin der Geschäftsführung Vertrieb und M...,Management,de,Assistant to the Sales and M...
Assistenz der Geschäftsführung - Vertrieb,Management,de,Assistant to the management - Sales
Assistenz der Geschäftsführung (U-Serv) | Backoffice Vertrieb,Management,de,Assistant to the management (U-Serv)
Geschäftsfeldmanager Vertrieb/Erzeugung,Management,de,Business unit manager sales/production
Geschäftsführer - Vertrieb,Management,de,Managing Director - Sales
Geschäftsführer  Vertrieb & Spritzgußproduktion,Management,de,Managing Director Sales & Injection Casting Production
Geschäftsführer & Head of Sales,Management,en,Geschäftsführer & Head of Sales
Geschäftsführer / Akquisition und Vertrieb,Management,de,Managing Director / Acquisition and Sales
Geschäftsführer / Vertrieb,Management,de,Managing Director / Sales
Geschäftsführer für Vertrieb,Management,de,Managing Director for Sales
Geschäftsführer und Vertrieb,Management,de,Managing Director and Sales
Geschäftsführer Vertrieb,Management,de,Managing Director Sales
Geschäftsführer Vertrieb & Innovation,Management,de,Managing Director Sales & Innovation
Geschäftsführer Vertrieb Deutschland & Österreich,Management,de,Managing Director Sales Germany & Austria
Geschäftsführer Vertriebsconsulting,Management,de,Managing Director Sales consulting
Geschäftsführer. Client Sales,Management,de,Managing Director. Client Sales
Geschäftsführer/Vertrieb,Management,de,Managing Director/Sales
Geschäftsführung  - Vertrieb,Management,de,Management - Sales
Geschäftsführung / Business Development / Sales,Management,de,Management / Business Development / Sales
Geschäftsführung und Vertrieb,Management,de,Management and sales
Geschäftsführung Vertrieb & Finanz,Management,de,Management Sales & Finance
Geschäftsführung Vertrieb & Technik,Management,de,Management Sales & Technology
Geschäftsführung Vertrieb / Solution Consulting,Management,de,Management Sales / Solution Consulting
Geschäftsführung Vertrieb und kfm. Geschäftsführung,Management,de,Management Sales and Kfm. Management
Technischer Vertrieb / Geschäftsführer,Management,de,Technical Sales / Managing Director
Vertrieb & Assistenz der Geschäftsführung,Management,de,Sales & assistance of the management
Vertriebs Geschäftsführer,Management,de,Sales Manager
CCO (Chief Customer Care and Channel Officer),Management,en,CCO (Chief Customer Care and Channel Officer)
CCO Chief Commercial Officer,Management,en,CCO Chief Commercial Officer
Chief,Management,en,Chief
Chief Commercial Officer,Management,en,Chief Commercial Officer
Chief Corporate Officer,Management,en,Chief Corporate Officer
Chief Customer Officer (CCO),Management,en,Chief Customer Officer (CCO)
Chief Customer Officer CCO,Management,en,Chief Customer Officer CCO
Chief Development Officer,Management,en,Chief Development Officer
Chief executive officier,Management,nl,Chief executive officier
Chief Financial Officer,Management,en,Chief Financial Officer
Chief Financial Officer (Group CFO),Management,en,Chief Financial Officer (Group CFO)
Chief Information Officer,Management,en,Chief Information Officer
Chief Information Officer - Member of KNF Group Board,Management,en,Chief Information Officer - Member of KNF Group Board
Chief Information Officer (DSI),Management,en,Chief Information Officer (DSI)
Chief International Officer,Management,en,Chief International Officer
Chief Operating Officer,Management,en,Chief Operating Officer
Chief Operating Officer  (COO),Management,en,Chief Operating Officer  (COO)
Chief Operating Officer (COO),Management,en,Chief Operating Officer (COO)
Chief Operating Officer (COO) @ VNR AG,Management,nl,Chief Operating Officer (COO) @ VNR AG
Chief Operating Officer (International),Management,en,Chief Operating Officer (International)
Chief Operating Officer Deutschland,Management,de,Chief Operating Officer Germany
Chief Product Officer,Management,en,Chief Product Officer
Chief Revenue Officer (CRO),Management,en,Chief Revenue Officer (CRO)
Chief Solution Architect,Management,en,Chief Solution Architect
Chief Stakeholder Officer,Management,en,Chief Stakeholder Officer
Chief Strategy Officer,Management,en,Chief Strategy Officer
Chief Strategy Officer / MD,Management,en,Chief Strategy Officer / MD
Chief Technical Officer,Management,en,Chief Technical Officer
Chief Technology Officer,Management,en,Chief Technology Officer
COO / Chief Operating Officer,Management,en,COO / Chief Operating Officer
CQO (Chief Quality Officer),Management,en,CQO (Chief Quality Officer)
Editor in Chief,Management,en,Editor in Chief
Geschäftsführer - Chief Operating Officer,Management,de,Managing Director - Chief Operating Officer
Geschäftsführer - COO Chief operating officer,Management,ru,Managing Director - COO Chief operating officer
Geschäftsführer / Chief Operating Officer,Management,de,Managing Director / Chief Operating Officer
Group Chief Data Officer,Management,en,Group Chief Data Officer
President & Chief Experience Officer,Management,en,President & Chief Experience Officer
Chief Business Development Officer,Management,en,Chief Business Development Officer
Chief Business Transformation Officer,Management,en,Chief Business Transformation Officer
Global Chief Business Development Officer,Management,en,Global Chief Business Development Officer
Chief Digital Officer,Management,en,Chief Digital Officer
Chief Communication Officer,Management,en,Chief Communication Officer
Chief Communications Officer CCO,Management,en,Chief Communications Officer CCO
Chief Marketing,Management,en,Chief Marketing
Chief Marketing and Communications Officer,Management,en,Chief Marketing and Communications Officer
Chief Marketing Officer,Management,en,Chief Marketing Officer
Chief Marketing Officer - ExCo Member,Management,en,Chief Marketing Officer - ExCo Member
Chief Marketing Officer Germany,Management,de,Chief Marketing Officer Germany
Chief Sales & Marketing Officer,Management,en,Chief Sales & Marketing Officer
Chief Sales and Marketing Officer,Management,en,Chief Sales and Marketing Officer
Chief Sales Officer & Chief Marketing Officer,Management,en,Chief Sales Officer & Chief Marketing Officer
Chief Strategy Officer I Head of Sales & Marketing,Management,en,Chief Strategy Officer I Head of Sales & Marketing
Deputy Chief Marketing & Sales Officer,Management,en,Deputy Chief Marketing & Sales Officer
Group Chief Marketing,Management,en,Group Chief Marketing
Marketing & Communications Chief Operations Officer,Management,en,Marketing & Communications Chief Operations Officer
Chief Operations Officer,Management,en,Chief Operations Officer
Vorstand / Chief Operations Officer,Management,de,Executive Board / Chief Operations Officer
Chief Sales Officer,Management,en,Chief Sales Officer
Chief Sales Officer (DACHF),Management,en,Chief Sales Officer (DACHF)
PA to Chief Human Resource Officer Headoffice & Sales,Management,en,PA to Chief Human Resource Officer Headoffice & Sales
​Direktor | CIO | CMO,Management,it,​Director | CIO | CMO
CDO,Management,pt,CDO
CEO,Management,en,CEO
CEO - VRP,Management,hi,CEO - VRP
CEO & Geschäftsführender Gesellschafter,Management,de,CEO & Managing Partner
CEO & Partner,Management,en,CEO & Partner
CEO / Directeur Général,Management,fr,CEO / General Manager
CEO / Geschäftsführender Gesellschafter,Management,de,CEO / Managing Partner
CEO / Geschäftsführer,Management,de,CEO / Managing Director
CEO / Geschäftsführung,Management,de,CEO / Management
CEO / Inhaber,Management,ur,CEO/Owner
CEO / Rekrutteringskonsulent | Specialist i industrien & byggebranchen | Headhunt & Performance baseret rekruttering,Management,tr,CEO / Recruitment Consultant | Specialist in the industry & construction industry | Headhunt & Performance based recruitment
CEO / Vorstand,Management,de,CEO / Executive Board
CEO | Founding Partner,Management,en,CEO | Founding Partner
CEO | ogun.io | Helping construction sites save money through digitalisation,Management,en,CEO | ogun.io | Helping construction sites save money through digitalisation
CEO | Recruiting Professional,Management,en,CEO | Recruiting Professional
CEO and CCTV specialist,Management,en,CEO and CCTV specialist
CEO Comlab Group,Management,en,CEO Comlab Group
CEO Engineering,Management,en,CEO Engineering
CEO FIWARE Foundation,Management,ur,CEO FIWARE Foundation
CEO Geschäftsführer,Management,de,CEO Managing Director
CEO Negociatis Optimisation de l'action commerciale,Management,fr,CEO Negociatis Optimization of commercial action
CEO Piwik PRO,Management,it,Ceo pinkic ex
CEO Siebeck GmbH,Management,de,CEO Siebeck GmbH
CEO Trendcommerce Dialog AG,Management,de,CEO Trendcommerce Dialog AG
CEO und Gründer,Management,de,CEO and Founder
CEO& Inhaber,Management,de,CEO & owner
CEO/ Geschäftsführer,Management,de,CEO/Managing Director
CEO/GF,Management,ur,CEO/GF
CEO/President,Management,en,CEO/President
Chairman & CEO,Management,hi,Chairman & CEO
Chief Executive Officer (CEO),Management,en,Chief Executive Officer (CEO)
Chief Information Officer (CIO),Management,en,Chief Information Officer (CIO)
Chief Operative Officer | Deputy CEO,Management,en,Chief Operative Officer | Deputy CEO
Chief Strategy Officer (CSO) & Member of the Board,Management,en,Chief Strategy Officer (CSO) & Member of the Board
Chief Technology Officer (CTO),Management,en,Chief Technology Officer (CTO)
CIO,Management,it,CIO
CIO/ Prokurist,Management,ur,CIO/Procurator
CIO/CDO,Management,it,CIO/CDO
CMO,Management,hi,CMO
CMO ViveLaCar,Management,pt,CMO ViveLaCar
Co-founder / CEO,Management,ru,Co-founder / CEO
Construction safety officer (CSO),Management,en,Construction safety officer (CSO)
COO/CMO,Management,pt,COO/CMO
CPO/CEO,Management,ur,CPO/CEO
CSO,Management,pt,CSO
CSO & Geschäftsführer D-A-CH,Management,de,CSO & Managing Director D-A-CH
CTO,Management,ur,CTO
CTO & Principal Solution Architect,Management,en,CTO & Principal Solution Architect
CTO (Chief Technology Officer),Management,en,CTO (Chief Technology Officer)
CTO | Gesellschafter,Management,de,CTO
Deputy CEO,Management,en,Deputy CEO
Directeur des Systèmes d'Information (DSI / CIO),Management,fr,Director of Information Systems (DSI / CIO)
DIRECTOR OF ADVERTISING,Management,en,DIRECTOR OF ADVERTISING
DIRECTOR OF BUSINESS DESIGNS,Management,en,DIRECTOR OF BUSINESS DESIGNS
Geschäftsfüher / CEO,Management,de,Head of Business / CEO
Geschäftsführender Gesellschafter (CEO),Management,de,Managing Partner (CEO)
Geschäftsführender Gesellschafter / CEO,Management,de,Managing Partner / CEO
Geschäftsführer & CEO,Management,de,Managing Director & CEO
Geschäftsführer & CTO,Management,de,Managing Director & CTO
Geschäftsführer (CEO),Management,de,Managing Director (CEO)
Geschäftsführer (CSO),Management,de,Managing Director (CSO)
Geschäftsführer / CEO,Management,de,Managing Director / CEO
Geschäftsführer / CTO,Management,de,Managing Director / CTO
Geschäftsführer | CEO,Management,de,"Managing Director, CEO"
Geschäftsführer CSO,Management,de,Managing Director CSO
Geschäftsführer I CEO,Management,de,Managing Director I CEO
Geschäftsführer. CEO,Management,de,CEO.
Geschäftsführer/ CEO,Management,de,Managing Director/ CEO
Geschäftsführer/CEO,Management,de,Managing Director/CEO
Geschäftsführerin (CMO),Management,de,Managing Director (CMO)
Geschäftsführerin CEO,Management,de,CEO
Geschäftsführung & Gründer [CEO],Management,de,Management & Founder [CEO]
Geschäftsführung (CTO),Management,de,Management (CTO)
Geschäftsführung / CEO,Management,de,Management / CEO
Geschäftsführung CTO / CSO,Management,de,Management CTO / CSO
Geschäftsführung/CEO,Management,de,Management/CEO
Global CEO,Management,en,Global CEO
Global CIO,Management,en,Global CIO
Group CIO,Management,en,Group CIO
Gründer & CEO,Management,de,Founder & CEO
Gründer / Geschäftsführender Gesellschafter / CEO,Management,de,Founder / Managing Partner / CEO
Gründer und CEO,Management,de,Founder and CEO
Handlungsbevollmächtigter CEO,Management,de,Acting CEO
Inhaber / CEO,Management,ur,Owner/CEO
MANAGING DIRECTOR UK,Management,en,MANAGING DIRECTOR UK
Mit-Inhaber und CTO,Management,de,Co-owner and CTO
Partner & CSO,Management,en,Partner & CSO
President & CEO,Management,en,President & CEO
President and CEO,Management,en,President and CEO
Projektassistentin CIO,Management,de,Project Assistant CIO
Responsable des Systèmes d'Information (RSI/CIO),Management,fr,Head of Information Systems (RSI/CIO)
Team Leader Development & vice CTO,Management,en,Team Leader Development & vice CTO
Technology Leader • CIO • CTO • Software Architecture • Cloud Architecture,Management,en,Technology Leader • CIO • CTO • Software Architecture • Cloud Architecture
Vorsitzender der Geschäftsführung/CEO,Management,de,Chairman of the Management Board/CEO
Vorstand - CEO,Management,de,Executive Board - CEO
Vorstand / CEO,Management,de,Executive Board / CEO
Vorstand Technologie (CTO),Management,de,Chief Technology Officer (CTO)
Vorstand/CEO,Management,ur,Board of Directors/CEO
Vorstandsvorsitzender / CEO,Management,de,Chairman of the Board / CEO
Assistentin CEO,Management,en,Assistentin CEO
CEO Assistentin,Management,tr,CEO assistant
Business Development / CMO,Management,en,Business Development / CMO
CDO E-Business / Digitalisierung,Management,de,CDO E-Business / Digitalisation
CEO & Business Development,Management,en,CEO & Business Development
CEO/Digital Worker,Management,en,CEO/Digital Worker
CEO: hunting expert for IT,Management,en,CEO: hunting expert for IT
Chief Digital & Media Officer (CDO),Management,en,Chief Digital & Media Officer (CDO)
Chief Digital Officer (CDO),Management,en,Chief Digital Officer (CDO)
Head of Group IT / CIO,Management,en,Head of Group IT / CIO
Head of IT & Digitization / CIO,Management,en,Head of IT & Digitization / CIO
Head of IT&C / CIO / Information Security Offic...,Management,en,Head of IT&C / CIO / Information Security Offic...
BtoB CRM PROGRAM DIRECTOR,Management,en,BtoB CRM PROGRAM DIRECTOR
CEO (Messe Kontakt),Management,ur,CEO (trade fair contact)
CEO Marketing & Sales TÜV Süd AG,Management,de,CEO Marketing & Sales TÜV Süd AG
Chief Marketing Officer (CMO),Management,en,Chief Marketing Officer (CMO)
CMO (Messe Kontakt),Management,ur,CMO (Messe Kontakt)
CSO (Chief Sales and Marketing Officer),Management,en,CSO (Chief Sales and Marketing Officer)
CSO (Messe Kontakt),Management,ur,CSO (Exhibition Contact)
CSO/CMO - Chief Executive Sales & Marketing,Management,pt,CSO/CMO - Chief Executive Sales & Marketing
CTO (Messe Kontakt),Management,ur,CTO (Exhibition Contact)
CEO / Sales Engineer,Management,en,CEO / Sales Engineer
Chief Sales Officer (CSO),Management,en,Chief Sales Officer (CSO)
CSO Chief Sales Officer,Management,en,CSO Chief Sales Officer
GESCHÄFTSFÜHRUNG / CEO / VERTRIEB & MARKETING ALLGEMEINER HANDEL / FIRMENKUNDENGESCHÄFT,Management,de,BUSINESS MANAGEMENT / CEO / DISTRIBUTION & MARKETING GENERAL TRADE / FEEDING BUSINESS
Head of Sales & CIO,Management,en,Head of Sales & CIO
Head Sales & CMO,Management,en,Head Sales & CMO
Ltg Vertrieb/CSO/Prokurist,Management,de,Ltg Sales/CSO/Procurer
Vorstand Sales / CSO,Management,de,Management Board Sales / CSO
Chief Executive Officer,Management,en,Chief Executive Officer
Chief Executive Officer:,Management,en,Chief Executive Officer:
Abteilungsdirektor,Director,de,Director of Division
Abteilungsdirektor Vermögensverwalter Office,Director,de,Divisional Director Asset Managers Office
Account Director,Director,en,Account Director
Area Director & General Manager EMEA Central,Director,en,Area Director & General Manager EMEA Central
Art Director,Director,en,Art Director
Assistance Managing Director,Director,en,Assistance Managing Director
Associate Director,Director,en,Associate Director
Board of Directors,Director,en,Board of Directors
Branch Director France,Director,en,Branch Director France
CEO - Director,Director,en,CEO - Director
CEO/Managing Director,Director,en,CEO/Managing Director
Client Director,Director,en,Client Director
Client Service Director,Director,en,Client Service Director
Co-Founder & Managing Director,Director,en,Co-Founder & Managing Director
Co-founder / Managing Director,Director,en,Co-founder / Managing Director
Co-founder and Managing Director,Director,en,Co-founder and Managing Director
Co-Founder and Research Director,Director,en,Co-Founder and Research Director
Commercial Director,Director,en,Commercial Director
Commercial Director Central Europe,Director,en,Commercial Director Central Europe
Commercial Director Industrial BU (Civil & Defence),Director,en,Commercial Director Industrial BU (Civil & Defence)
Company Director,Director,en,Company Director
Consulting Director,Director,en,Consulting Director
Country Director D A CH,Director,hi,Country Director D A CH
Creative Director,Director,en,Creative Director
Creative Director – Teamleiter Kreation,Director,de,Creative Director – Team Leader Creation
Customer Management & Engagement Director,Director,en,Customer Management & Engagement Director
Data & AI for Growth Director,Director,en,Data & AI for Growth Director
Deputy Area Director Europe Central,Director,en,Deputy Area Director Europe Central
Deputy Managing Director,Director,en,Deputy Managing Director
Director,Director,en,Director
Director - CEO,Director,en,Director - CEO
Director / Head of Fairs,Director,en,Director / Head of Fairs
Director / Head of Unit Media,Director,en,Director / Head of Unit Media
Director Account B2B München,Director,de,Director Account B2B Munich
Director After sales Solutions,Director,en,Director After sales Solutions
Director Alumni Affairs,Director,en,Director Alumni Affairs
Director and General Manager,Director,en,Director and General Manager
Director Application & Product Management,Director,en,Director Application & Product Management
Director Banca Empresas,Director,pt,Corporate Banking Director
Director Client Development,Director,en,Director Client Development
Director Client Relations,Director,en,Director Client Relations
Director Client Service,Director,en,Director Client Service
Director Cloud Technology,Director,en,Director Cloud Technology
Director comercial,Director,en,Director comercial
Director Commercial Excellence EMEA,Director,pt,Director Commercial Excellence EMEA
Director Consulting & Web Solutions,Director,en,Director Consulting & Web Solutions
Director Cooperations DACH,Director,en,Director Cooperations DACH
Director Corporate Development,Director,en,Director Corporate Development
Director Corporate Development / Leiter Unterne...,Director,de,Director Corporate Development / Head of Unterne...
Director Customer and Employee Engagement,Director,en,Director Customer and Employee Engagement
